武將编号,武將,容貌,性別,生年,登場年,仕官年,卒年,死因,相性,势力,军团,所属,所在,身份,官职,忠诚,lp12A,统率,武力,智力,政治,魅力,伤病,主义,政策,政策等级,声音,语调,lp117,配偶,義兄,血缘,父亲,母亲,世代
521,曹操,60,男,155,184,189,220,0,25,曹操,曹操,濮阳,曹操,君主,无,250,,100,73,91,94,97,健康,霸道,文事武备,3,曹操,自大男,17,卞氏,,曹操,,,1
987,吕布,3,男,156,184,189,198,1,145,董卓,张绣,天水,天水,普通,前将军,100,,100,100,26,13,36,健康,我道,强化三军,3,吕布,吕布,16,严氏,,吕布,,,1
1058,上杉谦信,980,男,170,184,0,268,0,75,,,,,死亡,无,0,,100,90,79,60,91,健康,我道,强化三军,3,威严男,威严男,0,,,上杉谦信,,,0
1062,成吉思汗,973,男,170,184,0,268,0,145,,,,,死亡,无,0,,100,92,88,81,95,健康,霸道,强化三军,3,自大男,自大男,0,孛儿帖,,成吉思汗,,,0
1551,莱因哈特,5000,男,165,184,0,350,0,25,,,,,死亡,无,0,,99,75,91,92,94,健康,霸道,强化三军,3,无效,威严男,0,,,莱因哈特,,,1
1552,莱因哈特,5001,男,165,184,0,350,0,25,,,,,死亡,无,0,,99,75,91,92,94,健康,霸道,强化三军,3,无效,威严男,0,,,莱因哈特,,,1
344,司马懿,49,男,179,198,198,251,0,31,张杨,张杨,壶关,壶关,太守,功曹,100,,99,63,96,92,90,健康,霸道,文事武备,2,威严男,威严男,88,,,司马懿,,,1
1555,杨,5004,男,160,184,0,350,0,75,,,,,死亡,无,0,,98,11,100,72,85,健康,王道,文事武备,3,无效,策士男,0,,,杨,,,1
1556,杨,5005,男,160,184,0,350,0,75,,,,,死亡,无,0,,98,11,100,72,85,健康,王道,文事武备,3,无效,策士男,0,,,杨,,,1
663,张辽,14,男,169,188,189,222,1,23,董卓,张绣,天水,天水,普通,后将军,100,,97,94,78,58,77,健康,霸道,强化鱼鳞,5,勇将男,勇将男,33,,,张辽,,,1
379,周瑜,91,男,175,189,189,210,0,125,孙坚,孙坚,武陵,武陵,普通,议曹从事,120,,97,71,97,86,94,健康,霸道,上兵伐谋,3,周瑜,威严男,22,,孙策,周瑜,,,1
147,关羽,2,男,162,184,184,219,1,75,刘备,刘备,永安,永安,普通,安东将军,255,,96,98,75,66,95,健康,王道,强化三军,2,关羽,关羽,14,,刘备,关羽,,,1
1057,武田信玄,979,男,170,184,0,268,0,125,,,,,死亡,无,0,,96,76,92,90,92,健康,王道,文事武备,3,自大男,自大男,0,,,武田信玄,,,0
902,陆逊,117,男,183,202,202,245,1,122,张超,张超,庐江,寿春,普通,别驾从事,100,,96,69,95,88,91,健康,王道,文事武备,2,恭敬男,恭敬男,48,,,陆逊,,,1
551,孙坚,62,男,156,184,184,192,1,126,孙坚,孙坚,建安,建安,君主,无,250,,95,90,78,72,90,健康,王道,强化三军,3,勇将男,勇将男,44,吴国太,,孙坚,,,1
114,夏侯渊,6,男,162,184,189,219,1,25,曹操,曹操,濮阳,夏侯渊,普通,平东将军,120,,95,91,55,61,79,健康,霸道,强化雁行,5,豪杰男,豪杰男,29,,,夏侯惇,,,1
1021,王翦,935,男,170,184,0,268,0,20,,,,,死亡,无,0,,95,78,84,69,70,健康,霸道,军制改革,6,威严男,威严男,0,,,王翦,,,0
1052,呼延灼,971,男,170,184,0,268,1,85,,,,,死亡,无,0,,95,91,75,60,82,健康,霸道,军制改革,5,威严男,威严男,0,,,呼延灼,,,0
1056,织田信长,982,男,170,184,0,268,1,25,,,,,死亡,无,0,,94,75,91,95,96,健康,霸道,文事武备,3,自大男,自大男,0,,,织田信长,,,0
720,邓艾,126,男,197,216,0,264,1,41,,,新野,新野,未登场,无,0,,94,87,89,81,70,健康,霸道,地势研究,5,威严男,威严男,89,,,邓艾,,,1
1586,莉拉,5105,女,165,184,0,350,0,75,,,,,死亡,无,0,,93,97,57,56,87,健康,霸道,强化三军,3,无效,勇敢女,0,,,莉拉,,,1
1013,霍去病,912,男,170,184,0,268,0,65,,,,,死亡,无,0,,93,93,42,5,84,健康,霸道,强化锥行,6,勇将男,勇将男,0,,,霍去病,,,0
557,孙策,63,男,175,189,189,200,1,125,孙坚,孙坚,建安,建安,普通,虎威将军,120,,93,92,69,68,91,健康,霸道,强化三军,3,豪杰男,豪杰男,45,,孙策,孙坚,孙坚,,2
440,诸葛亮,45,男,181,208,0,234,0,75,,,下邳,下邳,未登场,无,0,,93,38,100,96,93,健康,王道,文事武备,3,诸葛亮,威严男,20,,,诸葛亮,,,1
518,曹仁,24,男,168,187,189,223,0,25,曹操,曹操,许昌,许昌,太守,平北将军,120,,92,88,58,46,78,健康,霸道,强化鹤翼,5,豪杰男,豪杰男,30,,,曹操,,,1
596,赵云,9,男,168,187,0,229,0,75,刘备,刘备,永安,永安,普通,安南将军,199,,92,96,76,66,81,健康,王道,强化鱼鳞,5,赵云,勇将男,19,马云騄,,赵云,,,1
1040,魏无忌,957,男,170,184,0,268,0,75,,,,,死亡,无,0,,92,71,87,70,84,健康,割据,文事武备,3,威严男,威严男,0,,,魏罃,,,0
124,夏侯惇,7,男,156,184,189,220,0,25,曹操,曹操,许昌,召陵,普通,平西将军,120,,91,91,60,74,88,轻症,霸道,强化三军,2,威严男,威严男,28,,,夏侯惇,,,1
618,张郃,25,男,167,184,203,231,1,27,袁绍,袁绍,蓟,蓟,普通,军师将军,100,,91,90,69,57,72,健康,霸道,强化鹤翼,4,勇将男,勇将男,34,,,张郃,,,1
1043,田单,960,男,170,184,0,268,0,145,,,,,死亡,无,0,,91,73,94,64,71,健康,王道,文事武备,3,威严男,威严男,0,,,田因齐,,,0
203,姜维,84,男,202,225,0,264,1,73,,,天水,天水,未登场,无,0,,91,89,90,67,80,健康,霸道,军制改革,5,威严男,威严男,66,,,姜维,,,1
900,陆抗,149,男,226,240,0,274,0,122,,,吴,吴,未登场,无,0,,91,63,87,85,87,健康,王道,开发设施,5,恭敬男,恭敬男,0,,,陆逊,陆逊,孙氏,2
279,皇甫嵩,201,男,132,184,195,195,0,88,马腾,马腾,安定,皇甫嵩,普通,裨将军,100,,90,61,74,51,75,健康,霸道,开发设施,5,威严男,威严男,0,,,皇甫嵩,,,1
254,高顺,268,男,162,186,189,198,1,144,董卓,董卓,长安,安定,普通,右将军,97,,90,86,60,46,69,健康,割据,强化兵器,4,勇将男,勇将男,77,,,高顺,,,1
1051,林冲,967,男,170,184,0,268,0,80,,,,,死亡,无,0,,90,96,68,43,83,健康,王道,强化三军,2,勇将男,勇将男,0,,,林冲,,,0
769,马超,4,男,176,189,189,226,0,70,马腾,马腾,天水,天水,俘虏,无,120,,90,96,44,26,82,健康,我道,强化锋矢,5,豪杰男,豪杰男,61,,,马腾,马腾,,2
860,羊祜,192,男,221,240,0,278,0,31,,,濮阳,濮阳,未登场,无,0,,90,64,85,87,91,健康,王道,先从隗始,2,威严男,威严男,0,,,羊祜,,,1
607,张角,520,男,140,184,190,184,0,7,曹操,曹操,濮阳,濮阳,普通,劝学从事,100,,89,25,86,80,98,健康,我道,经世济民,3,威严男,威严男,96,,,张角,,,1
1026,赵雍,943,男,170,184,0,268,1,100,,,,,死亡,无,0,,89,72,86,71,80,健康,霸道,强化三军,3,自大男,自大男,0,,,赵雍,,,0
1059,毛利元就,981,男,170,184,0,268,0,31,,,,,死亡,无,0,,89,62,98,93,89,健康,割据,上兵伐谋,3,策士男,策士男,0,,,毛利元就,,,0
271,黄忠,23,男,148,184,0,222,0,72,刘备,刘备,阳平关,阳平关,太守,安北将军,100,,88,93,63,52,74,健康,王道,强化雁行,5,豪杰男,豪杰男,62,,黄忠,黄忠,,,1
442,徐晃,37,男,165,188,199,228,1,23,董卓,张绣,天水,天水,普通,左将军,100,,88,90,74,48,73,健康,霸道,开发设施,4,勇将男,勇将男,35,,,徐晃,,,1
1201,乌桓单于,1015,男,165,184,0,263,0,0,乌桓单于,乌桓单于,乌桓,乌桓,君主,无,250,,88,89,63,58,83,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,乌桓单于,,,0
1239,鲜卑元帅,1037,男,165,350,0,263,0,0,,,,,未登场,无,0,,88,91,65,61,82,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,鲜卑元帅,,,0
1029,项燕,946,男,170,184,0,268,1,125,,,,,死亡,无,0,,88,80,77,62,82,健康,王道,强化鱼鳞,6,威严男,威严男,0,,,项籍,,,0
179,甘宁,17,男,174,193,193,222,1,129,袁术,袁术,宛,宛,普通,虎威将军,100,,88,94,76,18,55,健康,我道,侵略荒废,5,粗鲁男,粗鲁男,51,,,甘宁,,,1
517,曹真,98,男,185,204,204,231,0,26,曹操,曹操,濮阳,濮阳,普通,军师将军,100,,88,74,68,72,89,健康,霸道,强化鹤翼,4,威严男,威严男,0,,,曹操,,,2
186,颜良,10,男,160,184,189,200,1,102,袁绍,袁绍,蓟,蓟,普通,破虏将军,100,,87,93,40,32,51,健康,我道,强化鱼鳞,5,豪杰男,豪杰男,79,,,颜良,,,1
1299,南中元帅,1014,男,165,350,0,263,0,0,,,,,未登场,无,0,,87,93,64,61,78,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,南中元帅,,,0
586,太史慈,22,男,166,185,195,209,1,124,袁绍,袁绍,蓟,蓟,普通,荡寇将军,100,,87,93,67,58,79,健康,霸道,强化鹤翼,5,勇将男,勇将男,50,,,太史慈,,,1
1053,花荣,970,男,170,184,0,268,1,75,,,,,死亡,无,0,,87,89,79,67,78,健康,王道,强化雁行,4,勇将男,勇将男,0,,,花荣,,,0
449,徐盛,125,男,177,196,196,228,0,124,陶谦,陶谦,下邳,下邳,普通,虎威将军,100,,87,82,77,65,71,健康,霸道,工法改革,4,豪杰男,豪杰男,60,,,徐盛,,,1
100,郝昭,77,男,185,204,204,229,1,22,张杨,张杨,晋阳,晋阳,普通,建武校尉,100,,87,79,78,62,68,健康,霸道,墨守研究,4,勇将男,勇将男,0,,,郝昭,,,1
111,郭淮,206,男,187,206,0,255,0,20,,,晋阳,晋阳,未登场,无,0,,87,78,82,75,76,健康,霸道,地势研究,4,勇将男,勇将男,92,,,郭淮,,,1
736,董卓,68,男,139,184,184,192,1,1,董卓,董卓,长安,董卓,君主,无,250,,86,85,69,19,37,健康,我道,上兵伐谋,3,自大男,自大男,73,,,董卓,,,1
