序号,名称,势力,军团,耐久,最大耐久,士兵,气力,金钱,兵粮,剑,枪,戟,弩,军马,冲车,井阑,投石,木兽,走舸,楼船,斗舰,太守,已训练
0,壶关,刘渊,刘渊,12000,12000,2000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
1,虎牢关,李渊,李渊,16000,15000,2000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
2,潼关,秦任好,秦任好,15000,15000,2000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
3,函谷关,秦任好,秦任好,15000,15000,1000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
4,武关,秦任好,秦任好,12000,12000,1000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
5,阳平关,宇文泰,宇文泰,15000,15000,2000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
6,剑阁,李特,李特,15000,15000,1000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
7,葭萌关,李特,李特,12000,12000,2000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
8,涪水关,刘邦,刘邦,12000,12000,1000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
9,绵竹关,刘邦,刘邦,12000,12000,2000,80,500,5000,0,0,0,0,0,0,0,0,0,0,0,0,,×
