序号,姓名,势力,军团,所属,所在,身分,官职,忠诚,功绩,统御,武力,智力,政治,魅力,五围和,体力,头像,性别,登场年,出生年,死亡年,死因,血缘,父亲,母亲,配偶,义兄弟,世代,相性,亲近武将,亲近武将,亲近武将,亲近武将,亲近武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,登场预定君主,枪兵适性,戟兵适性,弩兵适性,骑兵适性,兵器适性,水军适性,枪兵经验,戟兵经验,弩兵经验,骑兵经验,兵器经验,水军经验,统率经验,武力经验,智力经验,政治经验,魅力经验,统御变动,武力变动,智力变动,政治变动,魅力变动,出身地,特技,舌战得意话题,义理,野望,起用,性格,音声,口调,汉室,战略倾向,地元执着,すけるとん,头盔,面部,上身,披风,护腕,下身,箭袋,パーツ,武器·左,武器·右,马,头像变更年龄,lp124,任务,任务对象,lp140_1,lp140_2,lp140_3,lp140_4,lp140_5,留守Counter,伤病,旧势力,仕官禁止君主,仕官禁止期间,捕虏月数Counter,年初功绩
0,齐小白,齐小白,齐小白,临淄,临淄,君主,,120,2000,67,61,73,79,91,371,100,1201,男,150,130,229,不自然死,0,,,,,1,65,管夷吾,鲍叔牙,,,,,,,,,,Ｂ,Ａ,Ｂ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,遁走,时节,普通,较高,任意,冷静,冷静,尊大,重视,地方统一,重视,0,3,49,9,12,9,9,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
1,管夷吾,齐小白,齐小白,临淄,临淄,一般,,120,2000,88,65,96,120,87,456,100,1908,男,150,130,229,自然死,1,,,,,1,65,鲍叔牙,齐小白,,,,,,,,,,Ｓ,Ｓ,Ａ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,道理,情理坚定,较高,能力,刚胆,刚胆,尊大,重视,中华统一,临机应变,0,39,85,37,255,37,37,255,255,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
2,鲍叔牙,齐小白,齐小白,临淄,临淄,一般,,120,2000,43,46,76,87,89,341,100,1909,男,150,130,229,自然死,2,,,,,1,65,管夷吾,齐小白,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,辅佐,故事,不会背叛,较低,义理,小心,小心,谦逊,重视,地方统一,重视,0,119,75,79,255,79,79,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
3,晏婴,齐小白,齐小白,临淄,临淄,一般,,120,2000,37,18,90,92,92,329,100,1204,男,150,130,229,自然死,3,,,,,1,64,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,機智,故事,情理坚定,普通,能力,刚胆,刚胆,丁宁,普通,地方统一,重视,0,92,63,116,255,116,116,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
4,田完,齐小白,齐小白,临淄,临淄,一般,,120,2000,50,52,71,73,83,329,100,1205,男,150,130,229,自然死,4,,,,,1,67,,,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,时节,情理坚定,低,名声,小心,小心,殷勤,普通,现状维持,临机应变,0,110,38,106,255,106,106,255,255,255,255,255,255,576,,,,,,,,0,健康,,,0,0,0
5,司马穰苴,齐小白,齐小白,临淄,临淄,一般,,120,2000,90,64,81,79,76,390,100,1206,男,195,175,274,自然死,4,,,,,4,66,,,,,,,,,,,,Ｓ,Ｓ,Ａ,Ｂ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,道理,情理坚定,普通,能力,刚胆,刚胆,威严,普通,地方统一,重视,0,47,47,76,3,4,4,255,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
6,于禁,曹操,曹操,许昌,许昌,一般,,120,2000,79,78,65,57,48,327,100,76,男,150,130,229,自然死,6,,,,,1,29,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｂ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,道理,普通,普通,能力,刚胆,刚胆,尊大,普通,中华统一,临机应变,0,84,88,85,94,84,84,255,255,255,255,255,255,712,,,,,,,,0,健康,,,0,0,0
7,田因齐,齐小白,齐小白,临淄,临淄,一般,,120,2000,54,68,79,85,93,379,100,1207,男,210,190,289,自然死,4,,,,,5,67,,,,,,,,,,,,Ｃ,Ｂ,Ｃ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,威压,道理,普通,较高,任意,刚胆,刚胆,尊大,无视,中华统一,重视,0,5,18,107,12,107,5,255,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
8,卫瓘,司马懿,司马懿,寿春,寿春,一般,,120,2000,50,25,79,76,52,282,100,148,男,150,130,229,不自然死,8,,,,,1,31,,,,,,,,,,,,Ｃ,Ｂ,Ｂ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,诡计,道理,情理坚定,普通,能力,刚胆,刚胆,普通,普通,中华统一,重视,0,39,74,89,255,89,89,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
9,匡章,齐小白,齐小白,临淄,临淄,一般,,120,2000,82,75,73,44,58,332,100,1208,男,150,130,229,自然死,9,,,,,1,68,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,掠夺,时节,情理坚定,普通,名声,猪突,莽撞,豪放,普通,地方统一,重视,0,76,48,101,255,111,101,255,255,255,255,255,255,632,,,,,,,,0,健康,,,0,0,0
