序号,名称,说明,等级,种类
0,飞将,於陆上时不考虑ＺＯＣ、对武力低的敌部队施展战法成功时会心一击,4,行军
1,遁走,於陆上时不考虑ＺＯＣ,3,行军
2,强行,增加兵器、输送部队以外的陆上部队之移动力,3,行军
3,长驱,增加骑兵部队的移动力,2,行军
4,推进,於水上时不考虑ＺＯＣ,2,行军
5,操舵,增加水上的移动力,2,行军
6,踏破,无栈道通行的损害；减轻所有陷阱的损伤。,2,行军
7,搬运,增加输送部队的移动力,2,行军
8,解毒,预防毒泉的伤害,2,行军
9,扫荡,被攻击的敌方部队气力减少（小）,2,攻击
10,威风,被攻击的敌方部队气力减少（大）,3,攻击
11,昂扬,打倒敌方部队就可回復气力,2,攻击
12,连击,施展一般攻击时，可连续攻击２次,2,攻击
13,突袭,於陆上攻击时，不会受到损伤,2,攻击
14,强袭,於水上攻击时，不会受到损伤,2,攻击
15,乱战,於森林中攻击时施展会心一击,2,攻击
16,待伏,伏兵成功时施展会心一击,2,计略
17,攻城,攻击据点、设施、建築物时施展会心一击,3,攻击
18,掎角,施展齐攻时，让对方陷入混乱,2,攻击
19,捕缚,击破敌方部队时，必定可捕捉无特技「强运」或名马的敌将,2,攻击
20,精妙,击破敌方部队时所获得的技巧点数增为２倍,2,攻击
21,掠夺,击破敌方部队时，有機会夺取敌将的道具,2,攻击
22,攻心,攻击时可将敌方部队的一部分士兵吸收到自军部队中,2,攻击
23,驱逐,施展一般攻击时会心一击,3,攻击
24,射程,使井阑、投石的射程增加１区格,2,攻击
25,白马,未研究技巧「骑射」时也可施展骑射；骑射可施展会心一击,2,攻击
26,辅佐,即使没建立人际关係（厌恶除外）也可获得支援攻击,2,攻击
27,不屈,若在部队的士兵不多时被攻击，不会受到损伤,2,防御
28,金刚,在敌方攻击力微弱时被攻击的话，不会受到损伤,2,防御
29,铁壁,就算被一齐攻击，也会视之为一般攻击,2,防御
30,怒发,遭受敌方部队的战法攻击时，气力就会回復,2,防御
31,藤甲,火以外的攻击损伤减半，但火攻的损伤将增为２倍,2,防御
32,强运,不会战死、被俘、负伤,4,防御
33,血路,就算部队溃灭，同部队的武将也不会被俘虏,2,防御
34,枪将,对武力比自己低的敌方部队施展枪兵战法成功时会心一击,2,攻击
35,戟将,对武力比自己低的敌方部队施展戟兵战法成功时会心一击,2,攻击
